whoscored,fbref
Vitoria de Guimaraes,Vitória
Feyenoord,Feyenoord
Dynamo Kyiv,Dynamo Kyiv
Wolfsberger AC,Wolfsberger AC
CFR Cluj,CFR Cluj
FC Krasnodar,Krasnodar
Besiktas,Beşiktaş
FC Olexandriya,FC Oleksandriya
Ferencvaros,Ferencváros
FC Astana,Astana FK
Trabzonspor,Trabzonspor
Rosenborg,Rosenborg
FC Lugano,Lugano
BATE Borisov,BATE Borisov
Apollon Limassol,Apollon
Fenerbahce,Fenerbahçe
FC Zuerich,Zürich
Spartak Moscow,Spartak Moscow
Sarpsborg 08,Sarpsborg 08
Rapid Wien,Rapid Wien
Jablonec,Jablonec
AEK Larnaca,AÉK Lárnaka
PAOK Thessaloniki FC,PAOK
Fehervar FC,Vidi
Spartak Trnava,Spartak Trnava
Vorskla,Vorskla Poltava
Akhisarspor,Akhisarspor
Anderlecht,Anderlecht
Royal Antwerp,Antwerp
Molde,Molde
Maccabi Tel Aviv,Maccabi Tel Aviv
Hapoel Beer Sheva,Be'er Sheva
PFC CSKA-Sofia,CSKA Sofia
Omonia Nicosia,AC Omonia
Sivasspor,Sivasspor
Lech Poznan,Lech Poznań
Rijeka,Rijeka
Slovan Liberec,Slovan Liberec
Dundalk,Dundalk
Zorya,Zorya Luhansk
Sparta Prague,Sparta Prague
Brondby IF,Brøndby
Legia Warszawa,Legia Warsaw
FC Sheriff,Sheriff Tiraspol
Sturm Graz,Sturm Graz
