_key,whoscored
Vitória,Vitoria de Guimaraes
Feyenoord,Feyenoord
Dynamo Kyiv,Dynamo Kyiv
Wolfsberger AC,Wolfsberger AC
CFR Cluj,CFR Cluj
Krasnodar,FC Krasnodar
Beşiktaş,Besiktas
FC Oleksandriya,FC Olexandriya
Ferencváros,Ferencvaros
Astana FK,FC Astana
Trabzonspor,Trabzonspor
Rosenborg,Rosenborg
Lugano,FC Lugano
BATE Borisov,BATE Borisov
Apollon,Apollon Limassol
Fenerbahçe,Fenerbahce
Zürich,FC Zuerich
Spartak Moscow,Spartak Moscow
Sarpsborg 08,Sarpsborg 08
Rapid Wien,Rapid Wien
Jablonec,Jablonec
AÉK Lárnaka,AEK Larnaca
PAOK,PAOK Thessaloniki FC
Vidi,Fehervar FC
Spartak Trnava,Spartak Trnava
Vorskla Poltava,Vorskla
Akhisarspor,Akhisarspor
Anderlecht,Anderlecht
Antwerp,Royal Antwerp
Molde,Molde
Maccabi Tel Aviv,Maccabi Tel Aviv
Be'er Sheva,Hapoel Beer Sheva
CSKA Sofia,PFC CSKA-Sofia
AC Omonia,Omonia Nicosia
Sivasspor,Sivasspor
Lech Poznań,Lech Poznan
Rijeka,Rijeka
Slovan Liberec,Slovan Liberec
Dundalk,Dundalk
Zorya Luhansk,Zorya
Sparta Prague,Sparta Prague
Brøndby,Brondby IF
Legia Warsaw,Legia Warszawa
Sheriff Tiraspol,FC Sheriff
Sturm Graz,Sturm Graz
